Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6M6Tk58pQvABy6ru66dY3d,"No Money","The Aviary","Galantis",2017-09-15,191293,71,false,ocedinsmore,2026-01-31T20:14:55Z,"","Big Beat Records",0.674,0.915,6,-3.999,0,0.0411,0.0282,0.00337,0.273,0.78,126.038,4
spotify:track:2bLqfJjuC5syrsgDsZfGmn,"The Way I Are","Shock Value","Timbaland;Keri Hilson;D.O.E.",2007-01-01,179120,86,false,ocedinsmore,2026-01-31T20:15:26Z,"","Interscope/Blackground Records",0.729,0.807,6,-6.492,1,0.0936,0.181,0.75,0.319,0.765,114.742,4
spotify:track:2aI21FnmY7TJVKeMaoQZ0t,"Say It Right","Loose","Nelly Furtado",2006-01-01,223080,84,false,ocedinsmore,2026-01-31T20:15:30Z,"","Mosley / Geffen",0.871,0.871,1,-6.328,1,0.139,0.0469,0.00114,0.0543,0.811,116.946,4
spotify:track:39JofJHEtg8I4fSyo7Imft,"B.O.T.A. (Baddest Of Them All) - Edit","B.O.T.A. (Baddest Of Them All)","Eliza Rose;Interplanetary Criminal",2022-08-12,226626,71,false,ocedinsmore,2026-01-31T20:15:45Z,"house,uk garage,breakbeat","Warner Records",0.733,0.921,0,-7.077,1,0.0446,0.161,0.662,0.122,0.729,136.996,4
spotify:track:4E63weMCaNZuGPEFMnuEi8,"exes","THINK LATER","Tate McRae",2023-12-08,159400,82,true,ocedinsmore,2026-01-31T20:16:11Z,"","RCA Records Label",0.821,0.575,5,-6.57,0,0.0589,0.173,0.000242,0.114,0.611,136.962,4
spotify:track:0zXnqruuTKhV7dTmbaO52L,"Sunset","Sunset","LUCKI",2017-08-05,125021,73,true,ocedinsmore,2026-01-31T20:16:17Z,"cloud rap","Lucki",0.815,0.209,8,-16.526,1,0.516,0.715,0.000854,0.133,0.165,132.689,4
spotify:track:1goNZsIE8w3NQOzlP40veh,"Make Believe","Death Race For Love (Bonus Track Version)","Juice WRLD",2019-03-08,142025,66,true,ocedinsmore,2026-01-31T20:16:24Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.465,0.841,0,-4.35,1,0.0724,0.123,0,0.138,0.672,83.965,4
spotify:track:2lXQX3uhFHRYGBE6xR3tic,"Never Lose Me (feat. Lil Yachty)","Never Lose Me (feat. Lil Yachty)","Flo Milli;Lil Yachty",2023-12-01,165245,61,true,ocedinsmore,2026-01-31T20:19:21Z,"","'94 Sounds/RCA Records",0.786,0.504,1,-7.678,1,0.0938,0.0332,0,0.0979,0.346,121.967,4
spotify:track:6JFLZH9vCzgqnUToBdiHQb,"Gotta Have It","Watch The Throne","JAY-Z;Kanye West",2011-08-08,140746,67,true,ocedinsmore,2026-01-31T20:19:21Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.74,0.574,4,-6.938,1,0.245,0.411,0,0.262,0.33,149.762,4
spotify:track:4S4QJfBGGrC8jRIjJHf1Ka,"Pain","to hell with it","PinkPantheress",2021-10-15,98544,80,false,ocedinsmore,2026-01-31T20:19:29Z,"bedroom pop","Parlophone UK",0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,4
spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,"Love Me Again","Tribute","John Newman",2013-01-01,239894,68,false,ocedinsmore,2026-01-31T20:19:40Z,"","Universal-Island Records Ltd.",0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,4
spotify:track:1TChZzko2c7VQnpti1J5DG,"Just the Two of Us","Emotionless","Cxxlion",2020-04-10,132352,0,true,ocedinsmore,2026-01-31T20:19:48Z,"drift phonk,phonk","917441 Records DK",0.807,0.649,10,-8.048,0,0.369,0.109,0.000378,0.839,0.569,170.059,4
spotify:track:1ixbwbeBi5ufN4noUKmW5a,"Paper Planes","Kala","M.I.A.",2007-08-20,205200,79,false,ocedinsmore,2026-01-31T20:19:56Z,"","XL Recordings",0.447,0.848,2,-6.175,1,0.222,0.033,0.0000746,0.65,0.485,172.253,4
spotify:track:2Foc5Q5nqNiosCNqttzHof,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk;Pharrell Williams;Nile Rodgers",2013-04-19,247632,80,false,ocedinsmore,2026-01-31T20:20:06Z,"french house,electronic,electro","Columbia",0.794,0.811,6,-8.966,0,0.038,0.0426,0.00000107,0.101,0.862,116.047,4
spotify:track:5GXAXm5YOmYT0kL5jHvYBt,"I Feel It Coming","Starboy","The Weeknd;Daft Punk",2016-11-24,269186,80,false,ocedinsmore,2026-01-31T20:20:13Z,"french house,electronic,electro","The Weeknd/Lyric",0.773,0.819,0,-5.946,0,0.118,0.426,0,0.0679,0.585,92.99,4
spotify:track:0CokSRCu5hZgPxcZBaEzVE,"Glorious (feat. Skylar Grey)","GEMINI","Macklemore;Skylar Grey",2017-09-22,220454,76,true,ocedinsmore,2026-01-31T20:20:21Z,"","Bendo LLC",0.731,0.794,0,-5.126,0,0.0522,0.0323,0.0000259,0.112,0.356,139.994,4
spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,"Gimme! Gimme! Gimme! (A Man After Midnight)","Voulez-Vous","ABBA",1979,292613,84,false,ocedinsmore,2026-01-31T20:20:26Z,"","Polar Music International AB",0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4
spotify:track:5XVjNRubJUW0iPhhSWpLCj,"Better Off Alone","Who Needs Guitars Anyway?","Alice Deejay",2000-10-01,214883,81,false,ocedinsmore,2026-01-31T20:20:31Z,"eurodance,europop","Universal Music, a division of Universal International Music BV",0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,4
spotify:track:46lFttIf5hnUZMGvjK0Wxo,"Runaway (U & I)","Pharmacy","Galantis",2015-06-05,227073,77,false,ocedinsmore,2026-01-31T20:21:01Z,"","Big Beat Records/Atlantic",0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,4
spotify:track:5IPJsGFKtxKDPCkT8lhEjN,"The Rhythm of the Night","The Rhythm of the Night","Corona",1995,264306,54,false,ocedinsmore,2026-01-31T20:21:06Z,"eurodance","Rhino",0.688,0.782,5,-12.291,0,0.034,0.000235,0.666,0.0955,0.77,127.822,4
spotify:track:0OPyDgTRuIdCJ9B4bYSths,"Hotel Room Service","Pitbull Starring In Rebelution","Pitbull",2009-08-31,237600,73,false,ocedinsmore,2026-01-31T20:21:20Z,"","Mr.305/Polo Grounds Music/J Records",0.85,0.631,1,-8.401,1,0.227,0.00684,0.000406,0.0679,0.738,126.002,4
spotify:track:4356Typ82hUiFAynbLYbPn,"DJ Got Us Fallin' In Love (feat. Pitbull)","Raymond v Raymond (Expanded Edition)","USHER;Pitbull",2010-03-30,220800,85,false,ocedinsmore,2026-01-31T20:21:27Z,"r&b","LaFace Records",0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,4
spotify:track:2gam98EZKrF9XuOkU13ApN,"Promiscuous","Loose","Nelly Furtado;Timbaland",2006-01-01,242293,88,false,ocedinsmore,2026-01-31T20:21:34Z,"","Mosley / Geffen",0.808,0.97,10,-6.098,0,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
spotify:track:1gSDTZHemEViEBiXysrlo0,"Can I Kick It?","People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","A Tribe Called Quest",1990,251790,70,false,ocedinsmore,2026-01-31T20:21:41Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive/Legacy",0.848,0.665,7,-6.547,1,0.273,0.173,0.000716,0.129,0.741,96.662,4
spotify:track:2yWlGEgEfPot0lv3OAjuG3,"Just Keep Watching (From F1® The Movie)","Just Keep Watching (From F1® The Movie)","Tate McRae;F1 The Album",2025-05-30,142550,88,false,ocedinsmore,2026-01-31T20:22:12Z,"","Atlantic Records",0.656,0.796,9,-5.856,0,0.113,0.0767,0,0.509,0.425,129.956,4
spotify:track:1A8j067qyiNwQnZT0bzUpZ,"This Girl (Kungs Vs. Cookin' On 3 Burners)","Layers","Kungs;Cookin' On 3 Burners",2016-11-04,195546,79,false,ocedinsmore,2026-01-31T20:22:12Z,"","Universal Music Division Island Def Jam",0.793,0.717,0,-4.759,0,0.0393,0.0927,0.000036,0.226,0.466,121.985,4
spotify:track:14OxJlLdcHNpgsm4DRwDOB,"Habits (Stay High)","Queen Of The Clouds","Tove Lo",2014-01-01,209160,78,false,ocedinsmore,2026-01-31T20:22:23Z,"","Universal Music AB",0.729,0.65,5,-3.539,1,0.0313,0.0702,0.0000669,0.0829,0.347,110.02,4
spotify:track:5uQOauh47VFt3B2kV9kRXw,"My Shit","Artist","A Boogie Wit da Hoodie",2016-09-16,128156,78,true,ocedinsmore,2026-01-31T20:22:28Z,"melodic rap","Highbridge The Label",0.812,0.621,5,-8.3,1,0.0515,0.244,0,0.099,0.847,77.998,4
spotify:track:2dxjKgT0li4qBI3QwuN9Ih,"Touch The Sky","Late Registration","Kanye West;Lupe Fiasco",2005-08-30,236600,79,true,ocedinsmore,2026-01-31T20:23:43Z,"rap","Roc-A-Fella",0.552,0.846,9,-4.912,1,0.342,0.0114,0,0.309,0.554,98.56,1
spotify:track:6jdOi5U5LBzQrc4c1VT983,"Hold On, We're Going Home","Nothing Was The Same (Deluxe)","Drake;Majid Jordan",2013-01-01,227880,79,false,ocedinsmore,2026-01-31T20:23:43Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.773,0.414,6,-7.436,0,0.0961,0.00411,0.000034,0.0733,0.289,99.993,4
spotify:track:4jTiyLlOJVJj3mCr7yfPQD,"This Could Be Us","SremmLife","Rae Sremmurd",2015-01-06,206306,78,true,ocedinsmore,2026-01-31T20:23:51Z,"","Mike WiLL Made-It",0.732,0.69,0,-4.992,0,0.134,0.291,0,0.116,0.758,143.072,4
spotify:track:7dltD9eEX7X1zk8JJ9BS0e,"Superstar (feat. Matthew Santos)","Lupe Fiasco's The Cool","Lupe Fiasco;Matthew Santos",2007-01-01,289000,75,false,ocedinsmore,2026-01-31T20:24:08Z,"","1st & 15th/Atlantic",0.572,0.822,11,-6.015,0,0.361,0.207,0,0.359,0.472,94.812,4
spotify:track:6cblRiEGDRNZgowcm951R3,"Sandra’s Rose","Scorpion","Drake",2018-06-29,216333,66,true,ocedinsmore,2026-01-31T20:24:08Z,"rap","Cash Money/Drake LP6",0.486,0.849,1,-5.432,1,0.246,0.0481,0,0.143,0.519,152.086,4
spotify:track:171PWhxgdrIOgcAiBPO3Gr,"The Count (feat. Wiz Khalifa)","The Marina","Curren$y;Harry Fraud;Wiz Khalifa",2018-05-30,194594,59,true,ocedinsmore,2026-01-31T20:24:12Z,"southern hip hop,rap","Jet Life Recordings",0.385,0.757,0,-5.96,1,0.167,0.709,0,0.235,0.469,82.673,4
spotify:track:3fZo9f1RF24iMVBaC6fAiA,"Overtones","Overtones","Frost",2020-03-17,269036,48,false,ocedinsmore,2026-01-31T20:24:16Z,"","Anjunadeep",0.683,0.826,6,-7.726,0,0.0409,0.0938,0.762,0.14,0.182,123.04,4
spotify:track:6hREi7jxcLZyq02dAIsyjL,"Ingrid Is A Hybrid","Outer","Dusky",2016-10-14,280520,45,false,ocedinsmore,2026-01-31T20:24:20Z,"deep house,house","Polydor Records",0.53,0.491,8,-10.512,1,0.0352,0.00365,0.52,0.0863,0.0462,124.993,4
spotify:track:5CUEqHBHPlWbsRhj0JVPZO,"Have You Ever?","Universal Language","Simon Doty",2023-04-28,253886,39,false,ocedinsmore,2026-01-31T20:24:46Z,"melodic house,progressive house,melodic techno","Anjunadeep",0.675,0.845,10,-7.477,0,0.0336,0.000796,0.767,0.261,0.538,124.984,4
spotify:track:1qyFlfPREPbRcS2BNszdYI,"Dreams Money Can Buy","Care Package","Drake",2019-08-02,253803,59,true,ocedinsmore,2026-01-31T20:24:53Z,"rap","OVO",0.423,0.587,6,-6.635,1,0.529,0.765,0,0.114,0.33,180.331,4
spotify:track:7yNX3ZFBWZoR52pbeU4Mcl,"Gold","lil kiiwi","Kiiara",2020-10-09,225882,71,false,ocedinsmore,2026-01-31T20:24:58Z,"","Atlantic Records",0.6,0.412,5,-9.343,0,0.344,0.615,0.0026,0.134,0.408,113.05,5
spotify:track:3SeDS5sSoWnwAZvVgkdKzf,"Better in the Dark","Summer's Over","Jordana;TV Girl",2021-10-13,155500,80,false,ocedinsmore,2026-01-31T20:25:16Z,"","Summer's Over",0.678,0.64,9,-7.486,1,0.0268,0.283,0.00067,0.682,0.701,90.058,4
spotify:track:7yNf9YjeO5JXUE3JEBgnYc,"Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,86,false,ocedinsmore,2026-01-31T20:25:22Z,"","Columbia",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
spotify:track:4S4Mfvv03M1cHgIOJcbUCL,"In My Room","In My Room","Frank Ocean",2019-11-02,133680,69,true,ocedinsmore,2026-01-31T20:25:27Z,"","Blonded",0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,4
spotify:track:4G3dZN9o3o2X4VKwt4CLts,"Passin' Me By","Bizarre Ride II The Pharcyde","The Pharcyde",1992-11-24,303493,68,false,ocedinsmore,2026-01-31T20:25:32Z,"jazz rap,west coast hip hop,old school hip hop,hip hop","The Bicycle Music Company",0.759,0.756,4,-8.145,0,0.266,0.0903,0.00000236,0.265,0.613,87.059,4
spotify:track:7FAFkQQZFeNwOFzTrSDFIh,"The Spins","K.I.D.S. (Deluxe)","Mac Miller;Empire Of The Sun",2010-08-13,195873,60,true,ocedinsmore,2026-01-31T20:25:37Z,"","Rostrum Records",0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.006,4
spotify:track:1eroCliWpJrEu1V7VSObcO,"Circadian Rhythm","100 GIGS","Drake",2024-08-30,126356,75,true,ocedinsmore,2026-01-31T20:25:44Z,"rap","OVO/Republic",0.694,0.574,1,-6.144,0,0.0483,0.193,0,0.082,0.286,146.007,4
spotify:track:4iz9lGMjU1lXS51oPmUmTe,"Homecoming","Graduation","Kanye West;Chris Martin",2007-09-11,203493,83,true,ocedinsmore,2026-01-31T20:25:51Z,"rap","Roc-A-Fella",0.67,0.747,1,-7.059,1,0.189,0.337,0,0.115,0.918,86.918,4
spotify:track:22L7bfCiAkJo5xGSQgmiIO,"All Of The Lights","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,299613,81,true,ocedinsmore,2026-01-31T20:25:57Z,"rap","Roc-A-Fella",0.531,0.803,1,-3.284,1,0.0717,0.0796,0.0000171,0.176,0.221,142.113,4
spotify:track:3JA9Jsuxr4xgHXEawAdCp4,"Just Can’t Get Enough","The Beginning","Black Eyed Peas",2010-01-01,219426,82,false,ocedinsmore,2026-01-31T20:26:00Z,"","A&M",0.659,0.629,0,-8.685,0,0.18,0.19,0,0.105,0.262,94.049,4
spotify:track:4EWCNWgDS8707fNSZ1oaA5,"Heartless","808s & Heartbreak","Kanye West",2008-11-24,211000,86,false,ocedinsmore,2026-01-31T20:26:04Z,"rap","Roc-A-Fella",0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4
spotify:track:3vQ4T78TTMOjQXGfXVKQJo,"Redbone","""Awaken, My Love!""","Childish Gambino",2016-12-02,326933,83,true,ocedinsmore,2026-01-31T20:26:10Z,"","Glassnote - VMG",0.741,0.354,1,-10.603,1,0.0837,0.181,0.00577,0.118,0.583,160.037,4
spotify:track:6K4t31amVTZDgR3sKmwUJJ,"The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,89,true,ocedinsmore,2026-01-31T20:26:16Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
spotify:track:7gUpO6td4OOnu0Lf9vhcIV,"Lights - Single Version","Lights","Ellie Goulding",2010,211800,69,false,ocedinsmore,2026-01-31T20:26:19Z,"","Polydor Records",0.683,0.788,8,-6.132,0,0.0354,0.0283,0.0469,0.112,0.809,120.019,4
spotify:track:66ZcOcouenzZEnzTJvoFmH,"The Sweet Escape","The Sweet Escape","Gwen Stefani;Akon",2006-01-01,246466,77,false,ocedinsmore,2026-01-31T20:26:26Z,"","Interscope",0.756,0.769,1,-3.502,1,0.0344,0.191,0,0.178,0.73,119.961,4
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,84,true,ocedinsmore,2026-01-31T20:26:33Z,"southern hip hop,hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
